,r1_vector,epsilon_vec,gamma_vector,delta_vector,prob_disturb_vec,severity_disturb_vec,omega_vec,optimal_spacing,prob_persistence
132,2,0.75,0.501,0.601,0.1,0.1,1,16,99.9348921940279
133,2,0.25,0.601,0.601,0.1,0.1,1,15,99.973649946551
134,2,0.75,0.601,0.601,0.1,0.1,1,10,99.9512753778919
135,2,0.25,0.701,0.601,0.1,0.1,1,15,99.9746713182945
136,2,0.75,0.701,0.601,0.1,0.1,1,10,99.956289665733
137,2,0.25,0.801,0.601,0.1,0.1,1,14,99.9786583644133
138,2,0.75,0.801,0.601,0.1,0.1,1,10,99.9559491610236
139,2,0.25,0.901,0.601,0.1,0.1,1,10,99.9826080469891
140,2,0.75,0.901,0.601,0.1,0.1,1,10,99.9579130468963
141,2,0.25,0.001,0.701,0.1,0.1,1,14,99.9683820831791
142,2,0.75,0.001,0.701,0.1,0.1,1,15,99.9062076770661
143,2,0.25,0.101,0.701,0.1,0.1,1,26,99.9514223245159
144,2,0.75,0.101,0.701,0.1,0.1,1,23,99.8959206572289
145,2,0.25,0.201,0.701,0.1,0.1,1,31,99.9463764228769
146,2,0.75,0.201,0.701,0.1,0.1,1,33,99.8709738786096
147,2,0.25,0.301,0.701,0.1,0.1,1,19,99.9704928173707
148,2,0.75,0.301,0.701,0.1,0.1,1,24,99.9089572413955
149,2,0.25,0.401,0.701,0.1,0.1,1,13,99.9802347201307
150,2,0.75,0.401,0.701,0.1,0.1,1,19,99.9329635645012
151,2,0.25,0.501,0.701,0.1,0.1,1,10,99.9862707019726
152,2,0.75,0.501,0.701,0.1,0.1,1,10,99.9657622620594
153,2,0.25,0.601,0.701,0.1,0.1,1,10,99.9863333668202
154,2,0.75,0.601,0.701,0.1,0.1,1,15,99.947086282137
155,2,0.25,0.701,0.701,0.1,0.1,1,24,99.9695003426017
156,2,0.75,0.701,0.701,0.1,0.1,1,10,99.9659601171036
157,2,0.25,0.801,0.701,0.1,0.1,1,14,99.9829756253578
158,2,0.75,0.801,0.701,0.1,0.1,1,10,99.9655513332266
159,2,0.25,0.901,0.701,0.1,0.1,1,15,99.9826713656571
160,2,0.75,0.901,0.701,0.1,0.1,1,14,99.9633066943426
161,2,0.25,0.001,0.801,0.1,0.1,1,16,99.9763783878571
162,2,0.75,0.001,0.801,0.1,0.1,1,18,99.9251026782554
163,2,0.25,0.101,0.801,0.1,0.1,1,24,99.9700035332431
164,2,0.75,0.101,0.801,0.1,0.1,1,15,99.9507625398552
165,2,0.25,0.201,0.801,0.1,0.1,1,16,99.982208587455
166,2,0.75,0.201,0.801,0.1,0.1,1,25,99.9266451154589
167,2,0.25,0.301,0.801,0.1,0.1,1,39,99.9574834233665
168,2,0.75,0.301,0.801,0.1,0.1,1,23,99.936199690828
169,2,0.25,0.401,0.801,0.1,0.1,1,18,99.9825889819907
170,2,0.75,0.401,0.801,0.1,0.1,1,14,99.9641982306856
171,2,0.25,0.501,0.801,0.1,0.1,1,34,99.9681409290488
172,2,0.75,0.501,0.801,0.1,0.1,1,30,99.9296412503951
173,2,0.25,0.601,0.801,0.1,0.1,1,13,99.9892327807833
174,2,0.75,0.601,0.801,0.1,0.1,1,22,99.9521424332747
175,2,0.25,0.701,0.801,0.1,0.1,1,14,99.9889691378607
176,2,0.75,0.701,0.801,0.1,0.1,1,12,99.973614766819
177,2,0.25,0.801,0.801,0.1,0.1,1,14,99.9889469609544
178,2,0.75,0.801,0.801,0.1,0.1,1,12,99.9742386636796
179,2,0.25,0.901,0.801,0.1,0.1,1,22,99.9835275707449
180,2,0.75,0.901,0.801,0.1,0.1,1,10,99.9775210305771
181,2,0.25,0.001,0.901,0.1,0.1,1,14,99.9900935083022
182,2,0.75,0.001,0.901,0.1,0.1,1,13,99.9726596045775
183,2,0.25,0.101,0.901,0.1,0.1,1,14,99.9921856390701
184,2,0.75,0.101,0.901,0.1,0.1,1,23,99.9592160744395
185,2,0.25,0.201,0.901,0.1,0.1,1,21,99.9884314089696
186,2,0.75,0.201,0.901,0.1,0.1,1,31,99.9494900577013
187,2,0.25,0.301,0.901,0.1,0.1,1,15,99.9925543332259
